Movimentações entre 14/05/2018 e 16/05/2020:
-----------------------------------------------------------
Data         | Descrição                      | Valor
09/03/2019   | Pagamento da IPTU              | R$ 1.100,00
09/03/2019   | Fancy Restaurant               | R$ 41,24
09/04/2019   | Netflix                        | R$ 13,90
09/05/2019   | Starbucks                      | R$ 3,75
09/06/2019   | Cartão de Crédito              | R$ 1.390,37
09/06/2019   | Cartão de Crédito              | R$ 1.390,37
09/06/2019   | Cartão de Crédito              | R$ 502,75
09/07/2019   | Cervejaria                     | R$ 12,87
09/08/2019   | Cervejaria                     | R$ 19,30
09/09/2019   | Shell                          | R$ 28,77
09/09/2019   | Supermercado                   | R$ 65,09
09/09/2019   | Loja de Ferragens              | R$ 26,25
09/09/2019   | Spotify                        | R$ 10,69
09/09/2019   | Gas Company                    | R$ 30,00
09/11/2019   | Cartão de Crédito              | R$ 360,56
09/11/2019   | Phone Company                  | R$ 65,00
09/12/2019   | Cartão de Crédito              | R$ 360,56
09/01/2020   | Starbucks                      | R$ 2,75
09/01/2020   | Salário Quinzenal              | R$ 2.250,00
09/02/2020   | Supermercado                   | R$ 46,44
09/03/2020   | Amazon                         | R$ 47,66
09/04/2020   | Cartão de Crédito              | R$ 90,57
09/04/2020   | Cartão de Crédito              | R$ 90,57
09/04/2020   | Conta de água                  | R$ 35,00
09/05/2020   | Cartão de Crédito              | R$ 186,13
09/05/2020   | Companhia de Energia           | R$ 60,00
-----------------------------------------------------------
